source,target
"com.itsoninc.sapphire.in.RequestInfo","com.itsoninc.sapphire.in.DataRequestType"
"com.itsoninc.sapphire.in.DataInfo","com.itsoninc.sapphire.in.DataRequestType"
"com.itsoninc.saas.adapter.sapphire.payment.sadad.InitiatePaymentDetailsReply","com.itsoninc.saas.adapter.sapphire.payment.sadad.InitiatePaymentDetailsResponse"
"com.itsoninc.saas.adapters.sapphire.services.subscriber.SapphireProvisionServiceImpl$12","com.fasterxml.jackson.core.type.TypeReference"
"com.itsoninc.saas.adapters.sapphire.services.subscriber.SapphireProvisionServiceImpl$13","com.fasterxml.jackson.core.type.TypeReference"
"target.generated-sources.ws.com.itsoninc.saas.adapter.sapphire.payment.sadad.InitiatePaymentDetailsReply","target.generated-sources.ws.com.itsoninc.saas.adapter.sapphire.payment.sadad.InitiatePaymentDetailsResponse"
"com.itsoninc.saas.adapter.sapphire.payment.sadad.ConfirmPaymentDetailsReply","com.itsoninc.saas.adapter.sapphire.payment.sadad.ConfirmPaymentDetailsResponse"
"com.itsoninc.saas.services.iop.record.PortoutRecords","com.itsoninc.saas.services.iop.record.IORecords"
"com.itsoninc.saas.services.iop.record.SubscriberUsageRecords","com.itsoninc.saas.services.iop.record.IORecords"
"com.itsoninc.saas.services.iop.record.OperatorUsageRecords","com.itsoninc.saas.services.iop.record.IORecords"
"com.itsoninc.sapphire.in.MessageInfo","com.itsoninc.sapphire.in.MessageRequestType"
"com.itsoninc.sapphire.in.RequestInfo","com.itsoninc.sapphire.in.MessageRequestType"
"com.itsoninc.saas.infrastructure.services.ServiceErrorCode","com.itsoninc.saas.services.notification.NotificationUtils"
"com.itsoninc.saas.services.notification.NotificationUtils$ResultCombiner","com.itsoninc.saas.services.notification.NotificationUtils"
"com.itsoninc.saas.services.subscriber.device.DeviceServiceImpl","com.itsoninc.saas.services.subscriber.device.DeviceServiceImpl$DeviceFinderParam"
"target.generated-sources.ws.com.itsoninc.saas.adapter.sapphire.payment.sadad.ConfirmPaymentDetailsReply","target.generated-sources.ws.com.itsoninc.saas.adapter.sapphire.payment.sadad.ConfirmPaymentDetailsResponse"
"target.generated-sources.ws.com.itsoninc.sapphire.in.DataInfo","target.generated-sources.ws.com.itsoninc.sapphire.in.DataRequestType"
"target.generated-sources.ws.com.itsoninc.sapphire.in.RequestInfo","target.generated-sources.ws.com.itsoninc.sapphire.in.DataRequestType"
"com.itsoninc.saas.services.usage.report.SubscriberUsage","com.itsoninc.saas.services.network.enforcement.UsageGenerator"
"com.itsoninc.saas.infrastructure.services.enforcement.UsageEnforcementPolicy$UsageEnforcementPolicies","com.itsoninc.saas.services.network.enforcement.UsageGenerator"
"com.itsoninc.saas.infrastructure.storage.nosql.CassandraCQLClient","com.itsoninc.saas.infrastructure.context.onboard.Onboardable"
"com.itsoninc.saas.adapter.connector.netty.AsyncServiceResponseHandler","com.ning.http.client.AsyncCompletionHandler"
"com.itsoninc.saas.infrastructure.queue.EnqueueRequest$EnqueueRequestBuilder","com.itsoninc.saas.infrastructure.queue.QueueRequest$QueueRequestBuilder"
"com.itsoninc.saas.infrastructure.queue.PeekQueueRequest$PeekQueueRequestBuilder","com.itsoninc.saas.infrastructure.queue.QueueRequest$QueueRequestBuilder"
