source,target
"RequestInfo","DataRequestType"
"DataInfo","DataRequestType"
"InitiatePaymentDetailsReply","InitiatePaymentDetailsResponse"
"SapphireProvisionServiceImpl$12","TypeReference"
"SapphireProvisionServiceImpl$13","TypeReference"
"generated-InitiatePaymentDetailsReply","generated-InitiatePaymentDetailsResponse"
"ConfirmPaymentDetailsReply","ConfirmPaymentDetailsResponse"
"PortoutRecords","IORecords"
"SubscriberUsageRecords","IORecords"
"OperatorUsageRecords","IORecords"
"MessageInfo","MessageRequestType"
"RequestInfo","MessageRequestType"
"ServiceErrorCode","NotificationUtils"
"NotificationUtils$ResultCombiner","NotificationUtils"
"DeviceServiceImpl","DeviceServiceImpl$DeviceFinderParam"
"generated-ConfirmPaymentDetailsReply","generated-ConfirmPaymentDetailsResponse"
"generated-DataInfo","generated-DataRequestType"
"generated-RequestInfo","generated-DataRequestType"
"SubscriberUsage","UsageGenerator"
"UsageEnforcementPolicy$UsageEnforcementPolicies","UsageGenerator"
"CassandraCQLClient","Onboardable"
"AsyncServiceResponseHandler","AsyncCompletionHandler"
"EnqueueRequest$EnqueueRequestBuilder","QueueRequest$QueueRequestBuilder"
"PeekQueueRequest$PeekQueueRequestBuilder","QueueRequest$QueueRequestBuilder"
"DequeueRequest$DequeueRequestBuilder","QueueRequest$QueueRequestBuilder"
"UcipConnector_Service","Service"
"ITSONINService","Service"
"SubscriptionService","Service"
"AmountChargingService","Service"
"SADADPaymentManager_Service","Service"
"SubscriptionService","Service"
"INMessageQueueJob$INUMSQueueJobResult","JobResult"
"SubscriptionCycleServiceJobResult","JobResult"
"IOPJobResult","JobResult"
"NotificationInstanceCreationQueueJobResult","JobResult"
"SubscriptionInvoiceServiceJobResult","JobResult"
"IOPZactVoiceCDRReaderServiceJobResult","JobResult"
"ExternalTopupEventQueueJobResult","JobResult"
"TimeBasedNotificationJobResult","JobResult"
"PortoutQueueJobResult","JobResult"
"IOPZactIPDRWriterServiceJobResult","JobResult"
"ChargeHistoryInvoiceJobResult","JobResult"
"PlanExpirationEventServiceJobResult","JobResult"
"SubscriberDeviceServiceJobResult","JobResult"
"UsageAggregatorQueueJob$UsageAggregatorQueueJobResult","JobResult"
"AccountCycleServiceJobResult","JobResult"
"AdapterCallServiceJobResult","JobResult"
"AccountActionJobResult","JobResult"
"DeviceSwapServiceJobResult","JobResult"
"UmsPlanSubscriptionQueueJobV2$UmsPlanSubscriptionQueueJobResult","JobResult"
"CacheInvalidationQueueJob$CacheInvalidationJobResult","JobResult"
"QueueJobResult","JobResult"
"PlanPurchaseQueueJob$PlanPurchaseQueueJobResult","JobResult"
"ExternalEventsQueueJobResult","JobResult"
"AccountActionQueueJobResult","JobResult"
"UMSDleWorkerQueueJob$DLEQueueJobResult","JobResult"
"TimeBasedTagNotificationJobResult","JobResult"
"AutoProvisionServiceJobResult","JobResult"
"SMSUsageRangeServiceJob$SMSUsageRangeServiceJobResult","JobResult"
"CycleEventServiceJobResult","JobResult"
"AbstractAccountActionHandler","AccountActionHandler"
"generated-RequestInfo","generated-MessageRequestType"
"generated-MessageInfo","generated-MessageRequestType"
"ProtoBufCacheRequest$Builder","CacheRequest$Builder"
"StoreCacheRequest$Builder","CacheRequest$Builder"
"JMSMessageHandler","JMSQueueContext$JMSQueueContextCreator"
"QueueMessageExternalizer","JMSQueueContext$JMSQueueContextCreator"
"JMSQueueConfigurations$JMSQueueType","JMSQueueContext$JMSQueueContextCreator"
"PeekQueueRequest","QueueRequest"
"DequeueRequest","QueueRequest"
"EnqueueRequest","QueueRequest"
"DequeueHandler$EnqueueDataIndexRequest","QueueRequest"
"WalletServices","AbstractSoapServices"
"INTopUpServiceClientImpl","AbstractSoapServices"
"InputFile","AutoCloseable"
"OutputFile","AutoCloseable"
"OutputFiles","AutoCloseable"
"ServiceResponse","AutoCloseable"
"generated-RequestInfo","generated-VoiceCallRequestType"
"generated-VoiceCallInfo","generated-VoiceCallRequestType"
"VoiceCallInfo","VoiceCallRequestType"
"RequestInfo","VoiceCallRequestType"
"SubscriberNetworkIdServiceImpl","RowLevelAuthFilter"
"TransactionContext","SaveOptions$SaveOptionsBuilder"
"PredicateCondition","SaveOptions$SaveOptionsBuilder"
"AbstractPolicyFilter","PolicyFilter"
"Predicate","HtmlSanitizer"
"UsageWriteFilter","WriteFilter"
"SMTPEmailProvider","SMTPEmailProvider$1"
"AbstractServiceContextCreator","ServiceContextCreator"
